"","SampleID","Date","Time","WaterType","Location","Latitude","Longitude","Sample n","d18O","d18Osd","dD","dDsd","Dexcess"
"100","BW08",2019-09-04,NA,"Evaporated Surface","TBI-Ileret",4.2865,36.1343,1,7.45,NA,33.72,NA,-25.88
"101","MSTI011",2020-01-16,NA,"Evaporated Surface","Topernawi",3.851,35.7237,1,-3.68,NA,-26.82,NA,2.62
"102","G05",2017-05-28,09:00:00,"Deep Ground","Ileret",4.3261,36.2228,1,-0.12,NA,-2.33,NA,-1.37
"103","G04",2017-05-28,08:30:00,"Deep Ground","Ileret",4.2968,36.2184,1,2.42,NA,3.94,NA,-15.42
"104","G07",2017-06-21,10:30:00,"Deep Ground","Karari",4.1849,36.4816,1,-2.23,NA,-11.9,NA,5.94
"105","T001",2016-10-06,NA,"Deep Ground","TBI-Ileret",4.1719,36.154,1,3.11,NA,-11.14,NA,-36.02
"106","T01",2017-03-08,22:00:00,"Deep Ground","TBI-Ileret",4.1719,36.154,1,3.23,NA,-9.02,NA,-34.86
"107","T04",2017-05-26,22:00:00,"Deep Ground","TBI-Ileret",4.1719,36.154,1,3.05,NA,-12.83,NA,-37.23
"108","T03",2017-03-29,23:00:00,"Deep Ground","TBI-Turkwel",3.0829,35.515,1,-2.46,NA,-8.4,NA,11.28
"109","MSTI017",2020-01-22,NA,"Deep Ground","TBI-Turkwel",3.141,35.8655,1,-1.84,NA,-5.02,NA,9.7
"110","MSTI014",2020-01-22,NA,"Deep Ground","Lothagam",2.9499,36.0864,1,18.95,NA,19.68,NA,-131.92
"111","G06",2017-05-28,10:30:00,"Shallow Ground","Il Eeriet",4.3211,36.2267,1,-4.76,NA,-27.17,NA,10.91
"112","G01",2017-01-31,10:00:00,"Shallow Ground","Il Nitirwa",4.2163,36.3067,1,-1.33,NA,-6.83,NA,3.81
"113","G02",2017-02-10,10:30:00,"Shallow Ground","Il Kimere",4.1917,36.2342,1,-0.35,NA,-1.56,NA,1.24
"114","G03",2017-03-18,18:30:00,"Shallow Ground","TBI-Turkwel",3.0829,35.515,1,2.25,NA,14.92,NA,-3.08
"115","G08",2017-07-05,17:30:00,"Shallow Ground","TBI-Turkwel",3.0829,35.515,1,0.28,NA,5.7,NA,3.46
